,benchmark,program,optimizer,score,cost,input_tokens,output_tokens,optimizer_cost,optimizer_input_tokens,optimizer_output_tokens
137,HotpotQAConditional,SimplifiedBaleenWithInst,BootstrapFewShot1_Teacher_gpt4o,20.0,0.0,1051483,52843,0.0,0,0
138,HotpotQAConditional,SimplifiedBaleenWithInst,BootstrapFewShot2_Teacher_gpt4o,11.5,0.0,1021426,60618,0.0,0,0
139,HotpotQAConditional,SimplifiedBaleenWithInst,BootstrapFewShot3_Teacher_gpt4o,14.5,0.0,1007455,65805,0.0,0,0
140,HotpotQAConditional,SimplifiedBaleenWithInst,BootstrapFewShotRandomSearch,7.5,0.0,565841,57159,0.0,14722537,981642
141,HotpotQAConditional,SimplifiedBaleenWithInst,BootstrapFewShotRandomSearch_Teacher_gpt4o,21.5,0.0,657024,55466,0.0,14064052,971743
142,HotpotQAConditional,SimplifiedBaleenWithInst,MIPROv2,16.5,0.0,586221,56587,0.0,9563696,861059
143,HotpotQAConditional,SimplifiedBaleenWithInst,MIPROv2-lite,9.0,0.0,894770,42492,0.0,5384983,372842
144,HotpotQAConditional,SimplifiedBaleenWithInst,MIPROv2-lite-teacher-gpt4o,23.5,0.0,1058151,58029,0.0,5714058,396942
145,HotpotQAConditional,SimplifiedBaleenWithInst,MIPROv2-teacher-gpt4o,25.0,0.0,914243,58841,0.0,11289780,875157
146,HotpotQAConditional,SimplifiedBaleenWithInst,RuleInfer,6.5,0.0,1459505,37470,0.0,15419904,405783
147,HotpotQAConditional,SimplifiedBaleenWithInst,RuleInfer-lite,6.0,0.0,1600033,37755,0.0,15491435,404205
148,HotpotQAConditional,SimplifiedBaleenWithInst,RuleInfer-lite-teacher-gpt4o,7.5,0.0,1856929,57667,0.0,18422107,529371
149,HotpotQAConditional,SimplifiedBaleenWithInst,RuleInfer-teacher-gpt4o,8.0,0.0,1768515,56341,0.0,18018867,543662
150,HumanEval,CoT,Baseline,53.66,0.0,28454,25457,0.0,0,0
151,HumanEval,CoT,BootstrapFewShot,57.72666666666667,0.0,167034,27796,0.0,1503,1386
152,HumanEval,CoT,BootstrapFewShot1_Teacher_gpt4o,47.56,0.0,156210,21615,0.0,0,0
153,HumanEval,CoT,BootstrapFewShot2_Teacher_gpt4o,46.34,0.0,146698,20999,0.0,0,0
154,HumanEval,CoT,BootstrapFewShot3_Teacher_gpt4o,52.44,0.0,140958,15448,0.0,0,0
155,HumanEval,CoT,BootstrapFewShotRandomSearch,53.66,0.0,161868,29261,0.0,1491287,378838
156,HumanEval,CoT,BootstrapFewShotRandomSearch_Teacher_gpt4o,50.0,0.0,91266,27938,0.0,1479798,342742
157,HumanEval,CoT,MIPROv2,57.32,0.0,144484,28186,0.0,2297220,491581
158,HumanEval,CoT,MIPROv2-lite,59.76,0.0,143090,26976,0.0,1312380,278262
159,HumanEval,CoT,MIPROv2-lite-teacher-gpt4o,54.88,0.0,143746,24028,0.0,1063089,234406
160,HumanEval,CoT,MIPROv2-teacher-gpt4o,53.66,0.0,129560,26775,0.0,2211424,486687
161,HumanEval,CoT,RuleInfer,62.2,0.0,202868,26113,0.0,1662832,193515
162,HumanEval,CoT,RuleInfer-lite,54.88,0.0,198194,25915,0.0,1633888,194091
163,HumanEval,CoT,RuleInfer-lite-teacher-gpt4o,46.34,0.0,168592,22896,0.0,1364079,172623
164,HumanEval,CoT,RuleInfer-teacher-gpt4o,50.0,0.0,191470,25721,0.0,1513422,184136
165,HumanEval,Predict,Baseline,56.1,0.0,25748,12245,0.0,0,0
166,HumanEval,Predict,BootstrapFewShot,46.34,0.0,122672,17777,0.0,1346,742
167,HumanEval,Predict,BootstrapFewShot1_Teacher_gpt4o,46.34,0.0,123492,17551,0.0,0,0
168,HumanEval,Predict,BootstrapFewShot2_Teacher_gpt4o,45.12,0.0,120622,17795,0.0,0,0
169,HumanEval,Predict,BootstrapFewShot3_Teacher_gpt4o,51.22,0.0,116932,11161,0.0,0,0
170,HumanEval,Predict,BootstrapFewShotRandomSearch,57.32,0.0,74620,17126,0.0,1175329,214718
171,HumanEval,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,43.9,0.0,124968,18921,0.0,1130929,199295
172,HumanEval,Predict,MIPROv2,57.32,0.0,103320,16969,0.0,1691697,276172
173,HumanEval,Predict,MIPROv2-lite,57.32,0.0,88396,18259,0.0,833629,156827
174,HumanEval,Predict,MIPROv2-lite-teacher-gpt4o,47.56,0.0,58138,17512,0.0,823910,151869
175,HumanEval,Predict,MIPROv2-teacher-gpt4o,45.12,0.0,88314,20387,0.0,1649473,312595
176,HumanEval,Predict,RuleInfer,53.66,0.0,159080,17778,0.0,1355391,121845
177,HumanEval,Predict,RuleInfer-lite,50.0,0.0,151700,17537,0.0,1300853,121164
178,HumanEval,Predict,RuleInfer-lite-teacher-gpt4o,47.56,0.0,135792,14485,0.0,1059631,107914
179,HumanEval,Predict,RuleInfer-teacher-gpt4o,50.0,0.0,163098,18189,0.0,1301032,117873
180,IReRa,CoT,Baseline,4.08,0.0,76571,30297,0.0,0,0
181,IReRa,CoT,BootstrapFewShot,9.17,0.0,211448,29540,0.0,3449,1669
182,IReRa,CoT,BootstrapFewShot1_Teacher_gpt4o,10.04,0.0,251783,23530,0.0,0,0
183,IReRa,CoT,BootstrapFewShot2_Teacher_gpt4o,8.01,0.0,211223,24202,0.0,0,0
184,IReRa,CoT,BootstrapFewShot3_Teacher_gpt4o,9.87,0.0,208857,21406,0.0,0,0
185,IReRa,CoT,BootstrapFewShotRandomSearch,8.87,0.0,210209,29554,0.0,351111,76262
186,IReRa,CoT,BootstrapFewShotRandomSearch_Teacher_gpt4o,10.04,0.0,251783,23530,0.0,327786,39726
187,IReRa,CoT,MIPROv2,11.09,0.0,221363,29279,0.0,810372,134479
188,IReRa,CoT,MIPROv2-lite,9.01,0.0,220687,29369,0.0,464259,89747
189,IReRa,CoT,MIPROv2-lite-teacher-gpt4o,10.08,0.0,253135,23290,0.0,463347,61295
190,IReRa,CoT,MIPROv2-teacher-gpt4o,10.37,0.0,266993,24260,0.0,836722,97189
191,IReRa,CoT,RuleInfer,9.23,0.0,387321,29092,0.0,340979,33553
192,IReRa,CoT,RuleInfer-lite,8.42,0.0,310257,28897,0.0,274679,31705
193,IReRa,CoT,RuleInfer-lite-teacher-gpt4o,8.24,0.0,317693,32630,0.0,276930,28626
194,IReRa,CoT,RuleInfer-teacher-gpt4o,8.84,0.0,373125,25536,0.0,304590,22913
195,IReRa,Predict,Baseline,7.75,0.0,65207,8461,0.0,0,0
196,IReRa,Predict,BootstrapFewShot,8.456666666666665,0.0,145651,5935,0.0,2884,307
197,IReRa,Predict,BootstrapFewShot1_Teacher_gpt4o,9.5,0.0,174719,6749,0.0,0,0
198,IReRa,Predict,BootstrapFewShot2_Teacher_gpt4o,9.45,0.0,174719,6749,0.0,0,0
199,IReRa,Predict,BootstrapFewShot3_Teacher_gpt4o,9.06,0.0,148693,6532,0.0,0,0
200,IReRa,Predict,BootstrapFewShotRandomSearch,7.65,0.0,111175,5758,0.0,252306,14083
201,IReRa,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,10.88,0.0,174719,6801,0.0,234696,11362
202,IReRa,Predict,MIPROv2,10.0,0.0,112865,6703,0.0,512949,33430
203,IReRa,Predict,MIPROv2-lite,9.77,0.0,105429,6440,0.0,307943,20444
204,IReRa,Predict,MIPROv2-lite-teacher-gpt4o,9.1,0.0,97655,6580,0.0,350295,19381
205,IReRa,Predict,MIPROv2-teacher-gpt4o,8.01,0.0,96979,6761,0.0,519493,30698
206,IReRa,Predict,RuleInfer,8.0,0.0,277809,5839,0.0,266093,11175
207,IReRa,Predict,RuleInfer-lite,6.57,0.0,223729,5613,0.0,214094,8862
208,IReRa,Predict,RuleInfer-lite-teacher-gpt4o,8.91,0.0,265303,7277,0.0,229110,6310
209,IReRa,Predict,RuleInfer-teacher-gpt4o,8.69,0.0,302483,7530,0.0,280320,6490
210,IReRa,RAG,Baseline,64.52,0.0,76571,30297,0.0,0,0
211,IReRa,RAG,BootstrapFewShot,53.71333333333333,0.0,270936,22564,0.0,1175,756
212,IReRa,RAG,BootstrapFewShot1_Teacher_gpt4o,73.58,0.0,270373,27247,0.0,0,0
213,IReRa,RAG,BootstrapFewShot2_Teacher_gpt4o,71.93,0.0,267669,26358,0.0,0,0
214,IReRa,RAG,BootstrapFewShot3_Teacher_gpt4o,47.76,0.0,255163,23539,0.0,0,0
215,IReRa,RAG,BootstrapFewShotRandomSearch,64.52,0.0,76571,30297,0.0,347000,53332
216,IReRa,RAG,BootstrapFewShotRandomSearch_Teacher_gpt4o,77.7,0.0,162889,25739,0.0,313026,43378
217,IReRa,RAG,MIPROv2,71.62,0.0,252797,31011,0.0,821598,133987
218,IReRa,RAG,MIPROv2-lite,73.72,0.0,303159,27302,0.0,568000,71960
219,IReRa,RAG,MIPROv2-lite-teacher-gpt4o,77.8,0.0,272063,27406,0.0,512273,66753
220,IReRa,RAG,MIPROv2-teacher-gpt4o,74.89,0.0,241643,27476,0.0,821376,110646
221,IReRa,RAG,RuleInfer,38.12,0.0,407601,22350,0.0,375875,25772
222,IReRa,RAG,RuleInfer-lite,45.77,0.0,352845,22850,0.0,328595,24574
223,IReRa,RAG,RuleInfer-lite-teacher-gpt4o,74.92,0.0,348789,28228,0.0,314520,24419
224,IReRa,RAG,RuleInfer-teacher-gpt4o,76.18,0.0,401179,27011,0.0,365130,23596
225,IReRa,RAGBasedRank,Baseline,65.8,0.0,307584,66328,0.0,0,0
226,IReRa,RAGBasedRank,BootstrapFewShot,53.81,0.0,1296307,56250,0.0,4548,1269
227,IReRa,RAGBasedRank,BootstrapFewShot1_Teacher_gpt4o,74.27,0.0,1345428,104962,0.0,0,0
228,IReRa,RAGBasedRank,BootstrapFewShot2_Teacher_gpt4o,74.42,0.0,1330155,98924,0.0,0,0
229,IReRa,RAGBasedRank,BootstrapFewShot3_Teacher_gpt4o,48.06,0.0,1316480,72773,0.0,0,0
230,IReRa,RAGBasedRank,BootstrapFewShotRandomSearch,65.8,0.0,307584,66186,0.0,1548275,124277
231,IReRa,RAGBasedRank,BootstrapFewShotRandomSearch_Teacher_gpt4o,72.3,0.0,551960,101975,0.0,1522536,171584
232,IReRa,RAGBasedRank,MIPROv2,69.09,0.0,380817,77313,0.0,3818823,289361
233,IReRa,RAGBasedRank,MIPROv2-lite,68.01,0.0,783234,61862,0.0,1992760,161711
234,IReRa,RAGBasedRank,MIPROv2-lite-teacher-gpt4o,69.96,0.0,583314,101347,0.0,1969236,225830
235,IReRa,RAGBasedRank,MIPROv2-teacher-gpt4o,79.01,0.0,403944,103615,0.0,3007060,436475
236,IReRa,RAGBasedRank,RuleInfer,57.22,0.0,1575837,58372,0.0,1429409,60128
237,IReRa,RAGBasedRank,RuleInfer-lite,37.67,0.0,1436424,60979,0.0,1308879,57486
238,IReRa,RAGBasedRank,RuleInfer-lite-teacher-gpt4o,77.1,0.0,1525284,106866,0.0,1352261,85654
239,IReRa,RAGBasedRank,RuleInfer-teacher-gpt4o,75.66,0.0,1677229,112346,0.0,1459775,95654
240,Iris,CoT,Baseline,33.33,0.0,24000,8309,0.0,0,0
241,Iris,CoT,BootstrapFewShot,66.22333333333334,0.0,71350,5780,0.0,5209,575
242,Iris,CoT,BootstrapFewShot1_Teacher_gpt4o,33.33,0.0,74475,5931,0.0,0,0
243,Iris,CoT,BootstrapFewShot2_Teacher_gpt4o,33.33,0.0,79200,7106,0.0,0,0
244,Iris,CoT,BootstrapFewShot3_Teacher_gpt4o,34.67,0.0,74700,7138,0.0,0,0
245,Iris,CoT,BootstrapFewShotRandomSearch,33.33,0.0,74550,8095,0.0,861022,98418
246,Iris,CoT,BootstrapFewShotRandomSearch_Teacher_gpt4o,32.0,0.0,75450,5834,0.0,846960,99770
247,Iris,CoT,MIPROv2,45.33,0.0,65700,6753,0.0,1212994,176045
248,Iris,CoT,MIPROv2-lite,37.33,0.0,67350,7949,0.0,724744,94397
249,Iris,CoT,MIPROv2-lite-teacher-gpt4o,16.0,0.0,46200,7949,0.0,656739,91954
250,Iris,CoT,MIPROv2-teacher-gpt4o,33.33,0.0,75300,6240,0.0,1274891,155024
251,Iris,CoT,RuleInfer,61.33,0.0,244125,4645,0.0,1946590,45976
252,Iris,CoT,RuleInfer-lite,33.33,0.0,208725,4458,0.0,1697530,42331
